DATES,CUM_CASES
2020-04-22,1
2020-05-04,2
2020-06-11,3
2020-06-26,4
2020-07-11,5
2020-07-12,5
2020-07-16,6
2020-07-20,7
2020-07-20,8
2020-07-20,9
2020-07-25,10
2020-08-01,11
2020-08-01,12
2020-08-01,13
2020-08-01,14
2020-08-01,15
2020-08-02,16
2020-08-02,17
2020-08-02,18
2020-08-02,19
2020-08-02,20
2020-08-02,21
2020-08-03,22
2020-08-03,23
2020-08-03,24
2020-08-04,25
2020-08-04,26
2020-08-04,27
2020-08-05,28
2020-08-05,29
2020-08-05,30
2020-08-06,31
2020-08-06,32
2020-08-06,33
2020-08-09,34
2020-08-09,35
2020-08-09,36
2020-08-09,37
2020-08-09,37
2020-08-11,38
2020-08-12,39
2020-08-14,40
2020-08-14,41
2020-08-16,42
2020-08-16,43
2020-08-19,44
2020-08-19,45
2020-08-19,46
2020-08-20,47
2020-08-21,48
2020-08-22,49
2020-08-22,50
2020-08-22,51
2020-08-23,52
2020-08-25,53
2020-08-25,54
2020-08-25,55
2020-08-25,56
2020-08-26,57
2020-08-26,58
2020-08-26,59
2020-08-26,60
2020-08-27,61
2020-08-27,62
2020-08-27,63
2020-08-27,64
2020-08-27,65
2020-08-27,66
2020-08-27,67
2020-08-27,68
2020-08-27,69
2020-08-27,70
2020-08-27,71
2020-08-27,72
2020-08-27,73
2020-08-27,74
2020-08-27,75
2020-08-27,76
2020-08-27,77
2020-08-27,78
2020-08-27,79
2020-08-27,80
2020-08-27,81
2020-08-27,82
2020-08-27,83
2020-08-27,84
2020-08-27,85
2020-08-27,86
2020-08-27,87
2020-08-28,88
2020-08-28,89
2020-08-28,90
2020-08-28,91
2020-09-01,92
2020-09-04,93
2020-09-04,94
2020-09-07,95
2020-09-08,96
2020-09-09,97
2020-09-11,98
2020-09-12,99
2020-09-13,100
2020-09-13,101
2020-09-13,102
2020-09-15,103
2020-09-24,104
2020-09-27,105
2020-09-27,106
2020-09-29,107
2020-09-29,108
2020-09-29,109
2020-09-29,110
2020-09-29,111
2020-10-01,112
2020-10-01,113
2020-10-02,114
2020-10-02,115
2020-10-02,116
2020-10-02,117
2020-10-02,118
2020-10-02,119
2020-10-02,120
2020-10-02,121
2020-10-02,122
2020-10-02,123
2020-10-02,124
2020-10-05,125
2020-10-08,126
2020-10-08,127
2020-10-08,128
2020-10-09,129
2020-10-09,130
2020-10-09,131
2020-10-09,132
2020-10-10,133
2020-10-10,134
2020-10-10,135
2020-10-10,136
2020-10-10,137
2020-10-10,138
2020-10-10,139
2020-10-15,140
2020-10-15,141
2020-10-15,142
2020-10-17,143
2020-10-18,144
2020-10-19,145
2020-10-19,146
2020-10-19,147
2020-10-20,148
2020-10-22,149
2020-10-22,150
2020-10-22,151
2020-10-22,152
2020-10-22,153
2020-10-22,154
2020-10-22,155
2020-10-22,156
2020-10-22,157
2020-10-23,158
2020-10-23,159
2020-10-24,160
2020-10-24,161
2020-10-24,162
2020-10-25,163
2020-10-26,164
2020-10-26,165
2020-10-26,166
2020-10-26,167
2020-10-27,168
2020-10-30,169
2020-10-30,170
2020-11-04,171
2020-11-04,172
2020-11-04,173
2020-11-04,174
2020-11-05,175
2020-11-07,176
2020-11-07,177
2020-11-09,178
2020-11-11,179
2020-11-11,180
2020-11-12,181
2020-11-12,182
2020-11-12,183
2020-11-16,184
2020-11-16,185
2020-11-16,186
2020-11-16,187
2020-11-17,188
2020-11-20,189
2020-11-20,190
2020-11-20,191
2020-11-20,192
2020-11-21,193
2020-11-21,194
2020-11-27,195
2020-11-30,196
2020-12-01,197
2020-12-01,198
2020-12-01,199
2020-12-04,200
2020-12-04,201
2020-12-10,202
2020-12-11,203
2020-12-14,204
2020-12-19,205
